danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.7410,0.9080,4.0000,-3.2100,0.0000,0.0913,0.3670,0.2730,0.1150,0.2060,123.9990,187500.0000,0
0.6270,0.8870,6.0000,-8.8990,1.0000,0.6400,0.1600,0.0000,0.1140,0.2300,94.5200,173107.0000,0
0.6630,0.7830,7.0000,-8.9160,1.0000,0.1350,0.0010,0.0038,0.3110,0.7560,127.9250,97437.0000,0
0.5440,0.8080,10.0000,-6.9580,1.0000,0.1520,0.0434,0.0362,0.1260,0.4620,82.6670,197564.0000,0
0.3730,0.6610,5.0000,-11.3130,1.0000,0.0474,0.0016,0.7170,0.3210,0.4300,130.4490,352853.0000,0
0.5150,0.8780,0.0000,-6.8080,1.0000,0.0707,0.0000,0.0003,0.1380,0.3710,131.2680,303293.0000,0
0.6030,0.8990,11.0000,-3.6880,0.0000,0.0389,0.0896,0.0585,0.2160,0.1940,127.9870,234928.0000,0
0.7340,0.7320,5.0000,-6.0540,0.0000,0.0295,0.0038,0.2090,0.1060,0.5150,140.0210,178480.0000,0
0.7890,0.5760,10.0000,-6.7990,0.0000,0.4350,0.0382,0.0000,0.1360,0.4230,139.9640,164639.0000,0
0.7380,0.6290,6.0000,-4.8820,0.0000,0.0495,0.2680,0.0011,0.1630,0.3190,146.0670,180898.0000,0
0.8550,0.6980,7.0000,-6.9870,1.0000,0.2850,0.1770,0.0000,0.4420,0.5400,138.5220,209675.0000,0
0.6040,0.9030,0.0000,-4.2310,1.0000,0.0449,0.0002,0.5300,0.0586,0.0780,125.9890,293333.0000,0
0.5060,0.3530,0.0000,-11.6100,0.0000,0.4430,0.2760,0.9160,0.6950,0.4710,152.0030,184741.0000,0
0.7780,0.8670,1.0000,-6.5860,1.0000,0.2560,0.1710,0.0000,0.1300,0.5470,94.9780,264533.0000,0
0.8580,0.6780,1.0000,-3.8700,0.0000,0.0469,0.0761,0.0000,0.0741,0.9220,117.0090,188453.0000,0
0.6750,0.7600,11.0000,-7.0370,1.0000,0.0434,0.1040,0.0000,0.3300,0.4680,124.9330,172800.0000,0
0.7340,0.6350,7.0000,-6.9240,0.0000,0.1020,0.1200,0.0000,0.1070,0.4530,106.9930,212400.0000,0
0.3920,0.8720,9.0000,-5.7260,1.0000,0.0548,0.0003,0.0391,0.1770,0.4380,136.0960,449440.0000,0
0.7660,0.6440,3.0000,-5.7540,0.0000,0.0909,0.0186,0.0054,0.0909,0.4910,105.9840,270718.0000,0
0.3080,0.9960,10.0000,-3.3560,0.0000,0.0817,0.0032,0.0003,0.3560,0.3750,181.3310,191827.0000,0
0.7710,0.6930,0.0000,-4.1730,1.0000,0.0485,0.0358,0.0000,0.0904,0.7140,93.0040,222581.0000,0
0.8540,0.7410,11.0000,-7.9570,0.0000,0.1920,0.2440,0.0023,0.2100,0.6700,97.9780,192183.0000,0
0.6620,0.6140,4.0000,-9.6210,1.0000,0.2040,0.1580,0.0002,0.1260,0.6160,160.0680,180952.0000,0
0.7060,0.6770,10.0000,-8.1680,0.0000,0.2380,0.3160,0.0000,0.1050,0.8320,157.8550,160000.0000,0
0.5700,0.5850,8.0000,-7.0410,1.0000,0.2510,0.1280,0.0001,0.1110,0.3780,97.2850,171987.0000,0
0.7860,0.6870,0.0000,-5.9140,1.0000,0.1410,0.0076,0.0000,0.6190,0.3450,105.0210,215160.0000,0
0.7330,0.6730,9.0000,-6.5720,0.0000,0.0333,0.0132,0.0049,0.1600,0.6360,125.0640,163247.0000,0
0.4970,0.8480,0.0000,-4.3040,1.0000,0.3740,0.3420,0.0049,0.4110,0.4790,86.3970,191267.0000,0
0.3970,0.9420,1.0000,-2.5300,1.0000,0.0869,0.0002,0.2400,0.1400,0.3560,158.9900,232307.0000,0
0.6040,0.9490,10.0000,-3.5770,1.0000,0.1600,0.8120,0.0004,0.9810,0.6640,144.8640,222726.0000,0
0.6720,0.5930,11.0000,-4.0100,0.0000,0.0304,0.0223,0.0000,0.2140,0.4380,98.0200,229080.0000,0
0.7240,0.7030,5.0000,-4.0490,0.0000,0.1710,0.2280,0.0000,0.0852,0.8660,99.6290,180026.0000,0
0.6140,0.4690,8.0000,-6.6030,1.0000,0.0605,0.0888,0.2100,0.1120,0.2920,85.9940,245816.0000,0
0.5390,0.6200,9.0000,-10.6110,1.0000,0.0449,0.1300,0.0000,0.0763,0.5680,144.3630,235480.0000,0
0.5410,0.7710,7.0000,-4.3100,0.0000,0.0550,0.0213,0.0000,0.2610,0.3250,118.0080,210373.0000,0
0.7040,0.6420,1.0000,-11.1760,0.0000,0.1270,0.0590,0.0000,0.2810,0.8070,110.1220,325400.0000,0
0.4590,0.7410,4.0000,-6.4300,0.0000,0.0495,0.0002,0.0000,0.4810,0.3440,189.8790,231013.0000,0
0.8000,0.7890,7.0000,-8.0720,1.0000,0.0473,0.0294,0.8370,0.0548,0.4160,124.9920,188160.0000,0
0.4980,0.8710,3.0000,-4.3660,0.0000,0.0553,0.0014,0.0165,0.0788,0.0375,127.7940,219410.0000,0
0.7820,0.6780,6.0000,-5.3410,0.0000,0.0781,0.5730,0.0002,0.4220,0.4100,117.0330,211282.0000,0
0.4930,0.8180,5.0000,-6.2520,0.0000,0.0395,0.0012,0.4970,0.8240,0.0801,128.0320,198387.0000,0
0.6830,0.5350,5.0000,-7.3070,1.0000,0.0275,0.1940,0.0023,0.0804,0.9350,112.9660,220277.0000,0
0.6690,0.6230,7.0000,-7.0570,1.0000,0.0413,0.1010,0.0481,0.4120,0.1840,90.7610,214097.0000,0
0.7400,0.6130,8.0000,-4.8800,1.0000,0.1450,0.2580,0.0037,0.1230,0.4730,75.0230,166606.0000,0
0.5880,0.6650,3.0000,-7.9680,0.0000,0.1520,0.1080,0.0000,0.0845,0.3670,140.0240,147464.0000,0
0.8100,0.7930,6.0000,-9.4040,0.0000,0.0403,0.0378,0.0000,0.0720,0.8630,116.0490,369627.0000,0
0.7690,0.6750,6.0000,-13.3260,1.0000,0.0724,0.0007,0.0001,0.0904,0.8030,101.8840,252240.0000,0
0.6200,0.4070,9.0000,-10.0970,1.0000,0.0288,0.1590,0.0095,0.1620,0.4970,120.0280,251326.0000,0
0.6530,0.3110,6.0000,-16.3510,1.0000,0.0341,0.3330,0.0006,0.1150,0.5340,77.1030,283690.0000,0
0.4420,0.9430,3.0000,-3.2050,1.0000,0.0602,0.0029,0.0000,0.0910,0.7810,85.0640,181533.0000,0
0.6920,0.7920,7.0000,-5.9840,1.0000,0.2450,0.1300,0.0000,0.2550,0.5660,129.8830,167760.0000,0
0.5180,0.9570,1.0000,-4.3520,1.0000,0.2090,0.0200,0.0000,0.0893,0.6080,158.0100,190291.0000,0
